4H_ATR,ATR_percent_of_price,Donchian_lower,Donchian_upper,EMA200,EMA50,MAE_R,MAE_price,MAE_usdt,MFE_R,MFE_price,MFE_usdt,availability,breakout_distance,breakout_regime,breakout_strength,candidate_decision_time_utc_ms,candidate_id,daily_ATR,daily_close,daily_trend_strength,economic_cost,entry_price,entry_time,entry_time_utc_ms,entry_trend_state,estimated_funding_reserve,estimated_round_trip_cost,exit_price,exit_reason,exit_time,exit_time_utc_ms,fee,funding_cashflow,gross_pnl,holding_minutes,initial_risk_usdt,net_pnl,plan_id,planned_gross_reward_risk_ratio,planned_gross_reward_usdt,planned_net_reward_risk_ratio,planned_stop_price,planned_target_price,prior_20_bar_range_over_ATR,protective_outcome,quantity,realized_R_multiple,side,slippage_cost,symbol,time_to_MAE_minutes,time_to_MFE_minutes,trade_id,trend_regime,volatility_regime,whether_price_recovered_after_MAE,whether_reached_0_5R,whether_reached_1R,whether_reached_2R,whether_reached_target
43.1504243807732,0.01709916402386060851026732289,2572.82,2699.30,2864.11558840329,2601.13829327114,0.06733777278594230449647808927,2530.50,3.35989,0.8989626437120281573200836191,2387.43,44.85470,AVAILABLE,49.28,HIGH,1.142051340333004759747267188,1727798399999,cand_d021ca6f51316f269fb06495,108.315095394205,2601.49,2.427891460327510647353387497,0.936057301876688298946588429,2520.53,2024-10-01T16:01:00Z,1727798460000,BEAR,19.7703072,20.634356665,2391.56,PROTECTIVE,2024-10-02T18:59:00Z,1727895540000,0.827687165,0.2227064808819764114,43.46289,1618,49.896066665,42.8579093158819764114,eplan_7ce3f2da08b3017d75bdd9b1,0.8710684610033078245647722340,43.46289,0.4575217018261132708465367768,2606.83,2391.08,2.931141508224806047338359456,TARGET,0.337,0.8589436438673231921656925259,SHORT,0.331076617758664710346588429,ETHUSDT,10,1618,trade_157c8e32ea51198b9038fe33,HIGH,MEDIUM,True,True,False,False,True
52.8060466915525,0.02227529905448492160245675164,2412.40,2672.88,2859.96369200126,2595.08777196639,0.3952204366930295003217554309,2440.00,19.81280,0.4073277130018215062583363008,2308.09,20.41975,AVAILABLE,41.79,HIGH,0.7913866425960881230544844861,1727899199999,cand_fb70c983e46abd82cde8052c,118.166160008904,2446.85,2.241554773506316836365840736,0.852749916325859451312285675,2375.04,2024-10-02T20:01:00Z,1727899260000,BEAR,17.026891875,17.767460850,2428.58,TIME_EXIT,2024-10-04T20:03:00Z,1728072180000,0.73255205,0.17282231220694769,-16.3297,2882,50.13101085,-16.88942973779305231,eplan_cbf9c95356e489720cd580c0,0.9610378722295403305237759833,48.17780,0.6066173140013593003381458844,2480.65,2216.63,4.932768429371357604528167479,TIME_EXIT,0.305,-0.3369058283769486828530608016,SHORT,0.293020178532807141312285675,ETHUSDT,2671,1166,trade_1e285d6bf96a21d32fc36ab9,HIGH,HIGH,False,False,False,False,False
621.474260170534,0.009913388017472116942945012314,59815.00,62457.10,59919.9224123523,61352.4832890337,0.3616300200293148305639457659,61836.00,17.8920,0.6943167028865986507675310167,64448.20,34.3520,AVAILABLE,233.30,HIGH,0.3753976873249455750423641541,1728230399999,cand_2fa68cab03742ab4f4d48e38,2058.11249183877,62023.10,0.6960556735173954020396712410,1.7402855322517321893812692,62730.6,2024-10-06T16:01:00Z,1728230460000,BULL,23.25186,24.525051,62175.8,TIME_EXIT,2024-10-08T16:03:00Z,1728403380000,1.249064,-0.241408840713605274,-11.096,2882,49.475981,-12.586472840713605274,eplan_0685e07dbf7b6b8b1ae73bbe,0.7510310912278828791691871658,37.158,0.2553349876983742879196271015,61487.7,64595,4.251342604720268769050280032,TIME_EXIT,0.02,-0.2543956195777827078153336667,LONG,0.2498126915381269153812692,BTCUSDT,2854,1343,trade_780005984a1a622d3c899f2d,LOW,LOW,False,True,False,False,False
40.6649277165431,0.01716109373588078156650911546,2400.01,2520.25,2824.70752991827,2542.30170162991,0.6316616304536349570209408954,2459.99,31.62072,0.3045716331217742577733805612,2329.44,15.24673,AVAILABLE,30.41,HIGH,0.7478188627796025264087892979,1728518399999,cand_657bf5adfc7757e4270c632e,106.497421534955,2369.60,2.651762119852522956159601104,0.820501779104465452759665734,2371.91,2024-10-10T00:01:00Z,1728518460000,BEAR,19.820004075,20.686206455,2453.73,PROTECTIVE,2024-10-11T19:06:00Z,1728673560000,0.866202380,0.3921803918195261842,-29.37338,2585,50.059586455,-29.8474019881804738158,eplan_a9d0cdac4a418231891619b2,0.8716184669088872919655444645,43.63286,0.4583867980137511905061142200,2453.23,2249.92,2.956847749444899959730115922,STOP,0.359,-0.5962374862007931426847820931,SHORT,0.346479790923991636959665734,ETHUSDT,2585,1101,trade_6a0d678d9294afffcb8eda90,HIGH,MEDIUM,False,False,False,False,False
764.431218843347,0.01189191337557476789625647153,58900.00,63462.60,60085.3055387324,61553.0655148540,0.2152783094863348394297733583,63752.80,10.24080,0.8482837370977971586229299810,66728.90,40.35290,AVAILABLE,819.00,HIGH,1.071384815025242507041237564,1728878399999,cand_52eeae347e70148c0d86cb19,1980.62032212885,62839.80,0.7410607473440405923012236818,1.78183501549152820931951210,64355.2,2024-10-14T04:01:00Z,1728878460000,BULL,20.3923602,21.50583385,66641.7,PROTECTIVE,2024-10-15T13:46:00Z,1728999960000,1.11347365,-0.445666244559577,38.8705,2025,47.57005025,37.311360105440423,eplan_c923a769cdbfa247341d27e2,0.8171212726435999507904661085,38.8705,0.3650335885445065301355236639,62826.4,66648.4,5.968620704559427915294689268,TARGET,0.017,0.7843456105123711320864118700,LONG,0.22269512093195120931951210,BTCUSDT,97,2025,trade_3b0cbc06c6f117525cb933f2,LOW,MEDIUM,True,True,False,False,True
888.318530537466,0.01292851885515159365448988502,64771.70,68400.00,60357.6643914075,62365.6510753333,0.2186095929136300258457841368,68000.00,10.28100,0.1003422496799358128553891004,69000.00,4.71900,AVAILABLE,310.00,HIGH,0.3489739202135504062923284031,1729267199999,cand_8d7aa00f19b9cd18c8e1d64c,2109.57876979180,67401.50,0.9518424780715695218787686105,1.85069651224065584898845850,68685.4,2024-10-18T16:01:00Z,1729267260000,BULL,19.262637,20.31285075,68571,TIME_EXIT,2024-10-20T16:03:00Z,1729440180000,1.0294230,-0.61538892734181,-1.716,2882,47.02904325,-3.36081192734181,eplan_86e7f56d153ef67b37756fa3,0.8476783120609199295161081126,39.8655,0.4157569003915468767270743914,66908.8,71350.3,4.084458305518790126291790790,TIME_EXIT,0.015,-0.07146247712240690756557119626,LONG,0.20588458489884584898845850,BTCUSDT,1501,165,trade_e8ffa09dd96a7031e3e64647,LOW,MEDIUM,True,False,False,False,False
583.234484981361,0.008450212111853807803813671670,66600.00,69000.00,60601.1768866444,63071.0818988315,0.5349385918092483657492812446,67648.80,25.56070,0.2274075527062433214688277290,69566.00,10.86610,AVAILABLE,20.10,LOW,0.03446298275837094155300723684,1729468799999,cand_135e3645868050d471c4d883,1944.34670453083,69020.10,1.270300716652839436489292520,1.68986716567871279691482796,68994.1,2024-10-21T00:01:00Z,1729468860000,BULL,24.1919514,25.51939400,67820.9,PROTECTIVE,2024-10-21T13:17:00Z,1729516620000,1.29974250,-0.13017638598723,-22.2908,796,47.7824939,-23.72071888598723,eplan_0f56128efa547afbce0641b2,0.6929190441439055988661989867,33.1094,0.1588449111903721710096843648,67827.7,70743.8,4.114983015924888543642655145,STOP,0.019,-0.4964311602410361004618890351,LONG,0.25994827969148279691482796,BTCUSDT,796,22,trade_48b56b5b4fa10ca753f642e3,MEDIUM,LOW,False,False,False,False,False
33.7215223562980,0.01306615404978165938864628821,2600.10,2770.00,2795.28080277734,2562.71509292633,0.05416575990239406896453698551,2586.74,2.70015,1.050124264320456928520980877,2443.01,52.34844,AVAILABLE,19.27,HIGH,0.5714451381048352498301651437,1729684799999,cand_0e71d0fb1388f10da8ad7087,97.1558975450664,2621.78,2.393737443917214298364638683,1.258977724699082384447215381,2579.69,2024-10-23T12:01:00Z,1729684860000,BEAR,22.81621005,23.817247575,2479.03,PROTECTIVE,2024-10-23T18:04:00Z,1729706640000,0.968744880,0.097266664912098,38.55278,363,49.849757575,37.681301784912098,eplan_d00c8254e2c55221a80adcc7,0.7733794881950336144638713421,38.55278,0.2955988783462002623389889173,2647.13,2478.53,5.038325322470758118637522465,TARGET,0.383,0.7558973928452870314685778088,SHORT,0.387499509611180384447215381,ETHUSDT,105,363,trade_2e4780bb3af17ff6c7e7b3c3,HIGH,MEDIUM,True,True,True,False,True
39.9623330521140,0.01591002880523057445546367701,2529.00,2770.00,2795.28080277734,2562.71509292633,0.4116165949677481438927494123,2565.94,20.63615,0.3844256827937217741602849749,2453.52,19.27295,AVAILABLE,17.23,HIGH,0.4311560082723582675939946059,1729713599999,cand_636a1380cd44fcbab0f39ba9,97.1558975450664,2621.78,2.393737443917214298364638683,0.701228023361691412765856625,2507.81,2024-10-23T20:01:00Z,1729713660000,BEAR,20.673646875,21.578197525,2476.39,TIME_EXIT,2024-10-25T20:03:00Z,1729886580000,0.884695500,0.537346136957455,11.1541,2882,50.134397525,10.806750636957455,eplan_ed48fcd2daec09e56edfbb57,0.8454674254111324338688160988,42.38700,0.4150603877232889914936700937,2587.73,2387.93,6.030678931725963000008862451,TIME_EXIT,0.355,0.2155556099296608631181511341,SHORT,0.353878660319146412765856625,ETHUSDT,2551,2769,trade_0ea949f8b865d47793527a90,HIGH,MEDIUM,True,False,False,False,False
50.4680107455369,0.02068276330705171919183640015,2443.01,2646.19,2786.53899682873,2555.46981981055,0.5156629919966473531346764350,2527.25,25.85343,0.09168169158800009478323731155,2429.34,4.59658,AVAILABLE,2.91,LOW,0.05766028731888037866308996572,1729900799999,cand_1e00a2d1ad2ff2c289655f5a,106.196314470303,2440.10,2.175868137898483813119251646,0.614773404060669014396080620,2444.12,2024-10-26T00:01:00Z,1729900860000,BEAR,17.8125561,18.58845134,2507.3,TIME_EXIT,2024-10-28T00:03:00Z,1730073780000,0.76994581,0.463149956299233,-19.64898,2882,50.13629134,-19.955775853700767,eplan_aa1e90e9df69eb93074e9234,0.9362946230238656499717076999,46.94234,0.5655362194167431611226950398,2545.05,2292.72,4.025916555824781902668941318,TIME_EXIT,0.311,-0.3980305547207386839794121876,SHORT,0.307977550359902014396080620,ETHUSDT,2772,4,trade_ac273b5b95defa1bdf405e82,HIGH,HIGH,False,False,False,False,False
